Department,Phone Number,Location,Website
Modern Languages & Linguistics,644-3728,"DIFFENBAUGH BUILDING, 625 UNIVERSITY WAY",http://www.fsu.edu/~modlang/
Modern Languages Advising,644-2606,"DIFFENBAUGH BUILDING, 625 UNIVERSITY WAY",
Eastern Asian Languages Division,644-3728,"DIFFENBAUGH BUILDING, 625 UNIVERSITY WAY",
Spanish Language,644-3728,"DIFFENBAUGH BUILDING, 625 UNIVERSITY WAY",
Student Withdrawal,644-1741,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Social Work Research Institute ,644-2710,"UNIVERSITY CENTER - BLDG. C, 296 CHAMPIONS WAY",
Honors Program,644-1841,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",http://www.fsu.edu/~honors/
University Housing Maintenance,644-1871,"CAWTHON HALL, 119 HONORS WAY",
Couple and Family Therapy ,644-1588,"MARRIAGE AND FAMILY CLINIC, 540 W JEFFERSON ST",http://www.chs.fsu.edu/mft_center
Information Use Management ,645-5683,"SHORES BUILDING, 142 COLLEGIATE LOOP",http://www.ischool.cci.fsu.edu
World War Two Institute,644-9033,"BELLAMY BUILDING, 113 COLLEGIATE LOOP",http://www.fsu.edu/~ww2/
College of Education Office of Research,644-4005,"KASHA LABORATORY, 403 CHIEFTAN WAY",
Nuclear Services,644-6584,"COLLINS RESEARCH BUILDING, 1060 ATOMIC WAY",
Nuclear Services Isotope Separator Engineer,644-6477,"COLLINS RESEARCH BUILDING, 1060 ATOMIC WAY",
Nuclear Tandem Accelerator,644-5814,"COLLINS RESEARCH BUILDING, 1060 ATOMIC WAY",
Interdisciplinary Humanities Program,644-9121,"DIFFENBAUGH BUILDING, 625 UNIVERSITY WAY",http://www.fsu.edu/~proghum/
Student Government,644-2421,"UNIVERSITY CENTER - BLDG. C, 296 CHAMPIONS WAY",
Student Government Association,644-1811,"OGLESBY UNION -NEW CONCOURSE,",http://www.fsu.edu/~sga/
Student Body President,644-2057,"OGLESBY UNION -NEW CONCOURSE,",
Student Body Vice President,644-1815,"OGLESBY UNION -NEW CONCOURSE,",
Senate President,644-0072,"OGLESBY UNION -NEW CONCOURSE,",
Student Senate President,644-0076,"OGLESBY UNION -NEW CONCOURSE,",
FSU Childrens Center,645-9576,"A.V.RECREATION-CHILDCARE CTR., 169 HERLONG DR",
Asian American Student Union,644-3909,"GLOBAL & MULTICULTURAL CENTER, 110 S WOODWARD AVE",
SAFE Connection,644-0085,"UNIVERSITY CENTER - BLDG. C, 296 CHAMPIONS WAY",
Student Government Elections Office,644-4123,"OGLESBY UNION -NEW CONCOURSE,",
Congress Of Graduate Students,644-7166,"OGLESBY UNION -NEW CONCOURSE,",
The PRIDE,644-8804,"OGLESBY UNION -NEW CONCOURSE,",
Student Publications,644-0037,"OGLESBY UNION -NEW CONCOURSE,",
Servant Leadership,6443372,"DUNLAP SUCCESS CENTER, 100 S WOODWARD AVE",
Center for Global Engagement,644-1702,"GLOBAL & MULTICULTURAL CENTER, 110 S WOODWARD AVE",http://cge.fsu.edu/
Office of Research,644-9694,"WESTCOTT BUILDING, 222 S COPELAND ST",http://www.research.fsu.edu/
Neuroscience Program,645-9147,"PSYCHOLOGY DEPT. BUILDING, 1107 W CALL ST",http://www.neuro.fsu.edu/homepage.htm
Nutrition Food & Exercise Sciences,644-1829,"SANDELS BUILDING, 120 CONVOCATION WAY",http://www.chs.fsu.edu/nfes/
Nutrition Food & Exercise Sciences Academic Advising,644-5279,"SANDELS BUILDING, 120 CONVOCATION WAY",
COAPS Data Center,644-6918,"RESEARCH FOUNDATION - BLDG. A, 2000 LEVY AVE",
Oglesby Union,644-6860,"OGLESBY UNION -NEW CONCOURSE,",http://union.fsu.edu/
Oglesby Union Student Activities Center Reservations Space Guest Services,644-6083,"STUDENT SERVICES BUILDING, 874 TRADITIONS WAY",
Student Life Center,644-6083,"STUDENT SERVICES BUILDING, 874 TRADITIONS WAY",
Pepper Institute On Aging,644-2831,"PEPPER BUILDING, 636 W CALL ST",http://pepperinstitute.fsu.edu/
State ,645-9941,"WESTCOTT BUILDING, 222 S COPELAND ST",
Emergency Information Hotline,644-4636,"WESTCOTT BUILDING, 222 S COPELAND ST",
Public Relations News & Research Communications,644-4030,"WESTCOTT BUILDING, 222 S COPELAND ST",
Mathematics,644-2202,"LOVE BUILDING, 1017 ACADEMIC WAY",http://www.math.fsu.edu/
Mathematics Academic Advising,644-5868,"LOVE BUILDING, 1017 ACADEMIC WAY",
Philosophy,644-1483,"DODD HALL, 641 UNIVERSITY WAY",http://www.fsu.edu/~philo/
Social Theory & Practice,644-0220,"DODD HALL, 641 UNIVERSITY WAY",
Physics,644-2868,"KEEN BUILDING, 77 CHIEFTAN WAY",http://www.physics.fsu.edu/
Astronomy,644-7159,"KEEN BUILDING, 77 CHIEFTAN WAY",
Tandem Accelerator Office,644-2084,"KEEN BUILDING, 77 CHIEFTAN WAY",
Tandem Accelerator Control Room,644-6763,"COLLINS RESEARCH BUILDING, 1060 ATOMIC WAY",
"Emergency, Fire, Ambulance & Police",911,"TANNER HALL, 830 W JEFFERSON ST",
Telephone Counseling Hotline,224-6333,"Not Listed,",
University Police,644-1234,"TANNER HALL, 830 W JEFFERSON ST",http://www.police.fsu.edu/
Chief Of Police,644-1240,"TANNER HALL, 830 W JEFFERSON ST",
Police Records,644-1603,"TANNER HALL, 830 W JEFFERSON ST",
FSU Police Administration,644-1239,"TANNER HALL, 830 W JEFFERSON ST",
"College Of Medicine, Dean's office",644-1855,"COM -THRASHER BLDG., 1115 W CALL ST",http://www.med.fsu.edu/
SSTRIDE Program,644-3556,"COM -THRASHER BLDG., 1115 W CALL ST",
College of Medicine Academic Advising,644-7678,"COM -THRASHER BLDG., 1115 W CALL ST",
Political Science  ,644-5727,"BELLAMY BUILDING, 113 COLLEGIATE LOOP",http://polisci.fsu.edu/
Geological Science Program Advising,644-8582,"LOVE BUILDING, 1017 ACADEMIC WAY",
Statistics ,644-3218,"ROGERS BUILDING - OSB, 117 N WOODWARD AVE",http://stat.fsu.edu/
Regional Multidisciplinary Evaluation & Consulting Center,644-2222,"RIDGEWAY BUILDING, 715 W GAINES ST",http://csw.fsu.edu/index.php?clickLink=mcenter
Museum of Fine Arts,644-6836,"FINE ARTS BUILDING, 530 W CALL ST",http://www.mofa.fsu.edu/
Facilities,644-3369,"MENDENHALL BUILDING A, 969 LEARNING WAY",http://www.facilities.fsu.edu/
Facilities Service Center ,644-2424,"MENDENHALL BUILDING A, 969 LEARNING WAY",
Building Services,644-4000,"MENDENHALL BUILDING B, 965 LEARNING WAY",
Relocation Services,644-8611,"MENDENHALL BUILDING A, 969 LEARNING WAY",
College of Law Library,644-3405,"LAW - LIBRARY, 425 W JEFFERSON ST",http://www.law.fsu.edu/library/
 Law Library Reference Desk,644-4095,"LAW - LIBRARY, 425 W JEFFERSON ST",
L S I,644-2570,"UNIVERSITY CENTER - BLDG. C, 296 CHAMPIONS WAY",http://www.lsi.fsu.edu/
Teaching Activities,644-0643,"KING LIFE SCIENCES BUILDING, 319 STADIUM DR",
Young Scholars Program,644-1142,"1062 KING LIFE SCIENCES BUILDING, 319 STADIUM DR",
Saturday-at-the-Sea,644-1113,"1062 KING LIFE SCIENCES BUILDING, 319 STADIUM DR",
Sea to See,644-9828,"1062 KING LIFE SCIENCES BUILDING, 319 STADIUM DR",
Science on the Move,645-4966,"207 Richards, 1055 ATOMIC WAY",
Modern Languages,644-3728,"DIFFENBAUGH BUILDING, 625 UNIVERSITY WAY",
GIS Lab,96312413,"BELLAMY BUILDING, 113 COLLEGIATE LOOP",http://www.coss.fsu.edu/cossgis/
Survey Research Lab,644-5270,"BELLAMY BUILDING, 113 COLLEGIATE LOOP",http://www.fsu.edu/~survey/
Social Sciences ,644-6284,"BELLAMY BUILDING, 113 COLLEGIATE LOOP",http://www.coss.fsu.edu/
Interdisciplinary Programs,644-4418,"BELLAMY BUILDING, 113 COLLEGIATE LOOP",http://www.coss.fsu.edu/inaprog/
Economics Department,644-5001,"BELLAMY BUILDING, 113 COLLEGIATE LOOP",
Askew School of Public Administration & Policy,644-3525,"BELLAMY BUILDING, 113 COLLEGIATE LOOP",http://askew.fsu.edu/
University Center Club,644-8528,"UNIVERSITY CENTER - BLDG. B, 288 CHAMPIONS WAY",http://www.universitycenterclub.com/index.htm
Urban & Regional Planning,644-4510,"BELLAMY BUILDING, 113 COLLEGIATE LOOP",http://www.fsu.edu/~durp/
Sociology  ,644-6416,"BELLAMY BUILDING, 113 COLLEGIATE LOOP",http://www.fsu.edu/~soc/
Speech & Hearing Clinic,644-2238,"REGIONAL REHABILITATION CENTER, 127 HONORS WAY",
Vice President of Student Affairs,644-5590,"WESTCOTT BUILDING, 222 S COPELAND ST",
Counseling Center,644-2003,"ASKEW BUILDING, 942 LEARNING WAY",http://counseling.fsu.edu/
Southern Scholarship Foundation,222-3833,"GLOBAL & MULTICULTURAL CENTER, 110 S WOODWARD AVE",
Communication School Production Support,644-3772,"UNIVERSITY CENTER - BLDG. D, 403 STADIUM DR",
"Visual Arts, Theater & Dance",644-5244,"FINE ARTS BUILDING, 530 W CALL ST",http://cvatd.fsu.edu/
Visual Arts Student Services,644-7254,"FINE ARTS BUILDING, 530 W CALL ST",
Women's Center,644-4007,"OGLESBY UNION - DAVIS BUILDING, 79 N WOODWARD AVE",
Intellectual Property Development & Commercialization Main Office,644-9318,"DITTMER CHEMISTRY LAB, 95 CHIEFTAN WAY",
FSUPD,644-6481,"ALUMNI VL LAUNDRY-REC.CTR., 168 CRENSHAW DR",
Child Development Center,645-9576,"ALUMNI VL CHILD DEVLOP. CTR., 169 HERLONG DR",
Student Financial Services,644-9452,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",http://www.sfs.fsu.edu/
Dean of Students ,850-644-9566,"STUDENT SERVICES BUILDING, 874 TRADITIONS WAY",
Student Disability Resource Center TDD,850-270-5370,"STUDENT SERVICES BUILDING, 874 TRADITIONS WAY",http://www.disabilitycenter.fsu.edu/
Student Life Center Information,644-4455,"STUDENT SERVICES BUILDING, 874 TRADITIONS WAY",
Geography,644-1706,"BELLAMY BUILDING, 113 COLLEGIATE LOOP",http://www.coss.fsu.edu/geography/
Geography Academic Advising,644-5470,"BELLAMY BUILDING, 113 COLLEGIATE LOOP",
Geography Undergraduate Advisor,644-8382,"BELLAMY BUILDING, 113 COLLEGIATE LOOP",
Grounds ,644-2805,"MENDENHALL BUILDING B, 965 LEARNING WAY",
Victim Advocate Program,644-7161,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",http://www.victimadvocate.fsu.edu/
The Graduate School,644-3501,"WESTCOTT BUILDING, 222 S COPELAND ST",http://gradschool.fsu.edu/
Florida Natural Areas Inventory,224-8207,"2011:111-FREAC, 1018 THOMASVILLE RD, SUITE 112",
Employee Assistance Program,644-2288,"E.A.P. FACILITY, 937 W JEFFERSON ST",http://www.eap.fsu.edu/
Student Life Cinema ,644-4504,"STUDENT SERVICES BUILDING, 874 TRADITIONS WAY",http://movies.fsu.edu/
SunTrust Toll free,1-800-786-8787,"PARKING GARAGE #1, 104 N WOODWARD AVE",
Vice President for University Relations,644-2761,"ALUMNI CENTER FACILITY, 1028 W TENNESSEE ST",http://unirel.fsu.edu/
Strozier Library Administration ,644-5211,"STROZIER LIBRARY, 116 HONORS WAY",
Strozier Library Faculty Human Resources & Recruitment,645-8404,"STROZIER LIBRARY, 116 HONORS WAY",
Strozier Library Archives,644-3271,"STROZIER LIBRARY, 116 HONORS WAY",
Strozier Library Complex Cataloging,644-6321,"LIBRARY TECH, 711 W MADISON ST",
Strozier Library Monographs,644-0468,"LIBRARY TECH STACKS, 755 W MADISON ST",
Strozier Library Interlibrary Loan,644-5045,"STROZIER LIBRARY, 116 HONORS WAY",
Strozier Library Digital Library Center,644-3053,"STROZIER LIBRARY, 116 HONORS WAY",
"Documents, Maps & Micromaterials",645-2708,"STROZIER LIBRARY, 116 HONORS WAY",
Strozier Library Reserves,644-5268,"STROZIER LIBRARY, 116 HONORS WAY",
Strozier LibraryS ystems,645-9447,"STROZIER LIBRARY, 116 HONORS WAY",
Florida Campus Compact,488-7782,"2009:107-FLORIDA_CAMPUS COMP, 1801 MICCOSUKEE COMMONS",
Textbooks,644-6420,"PARKING GARAGE #1, 104 N WOODWARD AVE",
Communication Science And Disorders,,"C.C. - WARREN BLDG., 201 W BLOXHAM ST",http://www.commdisorders.cci.fsu.edu/
Economics Department Academic Advising,644-3835,"BELLAMY BUILDING, 113 COLLEGIATE LOOP",http://www.coss.fsu.edu/economics/
College of Law Admissions,644-3787,"LAW ROTUNDA, 425 W JEFFERSON ST",
College of Law Alumni Affairs,644-7260,"LAW - DAMON (V.GR.), 304 M.L.KING BLVD S",
College of Law Computer Help Desk,644-7735,"LAW - ROBERTS HALL, 425 W JEFFERSON ST",
College of Law Faculty Support Staff,644-4010,"LAW - ROTUNDA, 425 W JEFFERSON ST",
College of Law Accounting,644-7295,"LAW SCHOOL ADVOCACY CENTER, 301 S ML KING BLVD",
Public Interest Law Center,644-9928,"LAW SCHOOL ADVOCACY CENTER, 301 S ML KING BLVD",
College of Law Review,644-7781,"LAW - AUSLEY (V.GR.), 310 M.L.KING BLVD S",
School of Library and Information Studies Undergraduate Advising,644-5774,"UNIVERSITY CENTER - BLDG. C, 296 CHAMPIONS WAY",
Dance School Academic Advising,644-1023,"MONTGOMERY, 130 COLLEGIATE LOOP",
Dance School Production Office,644-9973,"MONTGOMERY, 130 COLLEGIATE LOOP",
College of Nursing Undergraduate  Advising,644-5107,"CONRADI BUILDING, 809 ACADEMIC WAY",
College of Nursing Skills Laboratory,644-5341,"CONRADI BUILDING, 809 ACADEMIC WAY",
Women's Studies Program,644-9121,"DIFFENBAUGH BUILDING, 625 UNIVERSITY WAY",http://freud.psy.fsu.edu/~womenstudies/
Women In Math,645-1984,"KEEN BUILDING, 77 CHIEFTAN WAY",
College of Social Work Undergraduate Advising,644-9740,"UNIVERSITY CENTER - BLDG. C, 296 CHAMPIONS WAY",
Social Work Graduate,645-6932,"UNIVERSITY CENTER - BLDG. C, 296 CHAMPIONS WAY",
Computer Science,644-8700,"LOVE BUILDING, 1017 ACADEMIC WAY",http://www.cs.fsu.edu/
Pepper Center,644-9311,"PEPPER BUILDING, 636 W CALL ST",http://www.fsurealestate.com/
Autism Institute,644-4367,"2011:101-AUTISM CTR., SUITE 72,65,&33 1940 N MONROE",
Environmental Health And Safety,644-6895,"CAROTHERS HALL, 1021 ATOMIC WAY",http://www.safety.fsu.edu/
Industrial Hygiene,644-8177,"CAROTHERS HALL, 1021 ATOMIC WAY",
Biological Safety Office,644-5374,"CAROTHERS HALL, 1021 ATOMIC WAY",
Radiation &Laser Safety,644-8802,"CAROTHERS HALL, 1021 ATOMIC WAY",
Hazardous Waste,644-7682,"CAROTHERS HALL, 1021 ATOMIC WAY",
GFDID Lab,644-6085,"KEEN BUILDING, 77 CHIEFTAN WAY",
Geophysical Fluid Dynamics Institute,644-5594,"KEEN BUILDING, 77 CHIEFTAN WAY",http://www.gfdi.fsu.edu/
Hardee Center for Leadership and Ethics in Higher Education,644-5867,"STONE BUILDING, 1114 W CALL ST",http://www.fsu.edu/~elps/hardee/
Asolo,941-351-9010,"CTR. FOR THE PERFORMING ARTS, 5555 N TAMIAMI TRAIL",
Costume Studio,644-6758,"FINE ARTS BUILDING, 530 W CALL ST",
Fine Arts Ticket Office,644-6500,"FINE ARTS BUILDING, 530 W CALL ST",
Degen Library,645-7247,"FINE ARTS BUILDING, 530 W CALL ST",
Human Resources,644-6034,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Classification,644-7935,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Employee Data Management,644-5176,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Employee Relations,644-6475,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Employment Data Management,645-7854,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Training Information,644-8724,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Unemployment Compensation,644-8048,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Human Resources Employee Ombudsman,645-1746,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Family Medical Leave,644-5051,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Leave & Terminations,644-9610,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Moving Expenses,644-7941,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Personnel Actions,644-4915,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",http://hr.fsu.edu/
Sick Leave Pool,644-7936,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Tax Sheltered Annuity Plans,644-4016,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Psychology Department Academic Advising,644-4260,"PSYCHOLOGY DEPT. BUILDING, 1107 W CALL ST",
Baptist Collegiate Ministry,222-4444,"Not Listed, SOUTH WOODWARD AVE",
Mag Lab EMR Program,644-1647,"MAG LAB - GENERAL SCIENCE, 1800 EAST PAUL DIRAC DR",
Mag Lab ICR Program,644-0529,"MAG LAB - GENERAL SCIENCE, 1800 EAST PAUL DIRAC DR",
Condensed Matter NMR,644-4974,"MAG LAB - GENERAL SCIENCE, 1800 EAST PAUL DIRAC DR",
Condensed Matter Experimental Program,644-2836,"MAG LAB - GENERAL SCIENCE, 1800 EAST PAUL DIRAC DR",
Deputy Mag Lab Director,644-1325,"MAG LAB - GENERAL SCIENCE, 1800 EAST PAUL DIRAC DR",
Seminole Dining,644-3663,"SEMINOLE DINING OFFICES, 945 W JEFFERSON ST",http://www.campusdish.com/en-us/CSS/FloridaState
Student Government Movie Channel,644-0089,"OGLESBY UNION -NEW CONCOURSE,",
Seminole Sportshop,644-8279,"UNIVERSITY CENTER - BLDG. B, 288 CHAMPIONS WAY",
Seminole Sportshop Manager,644-1759,"UNIVERSITY CENTER - BLDG. B, 288 CHAMPIONS WAY",
School Of Hospitality,644-4787,"UNIVERSITY CENTER - BLDG. B, 288 CHAMPIONS WAY",http://dsh.fsu.edu/
Alumni Village Maintenance,644-2035,"ALUMNI VL1, 157 HERLONG DR",
College of Nursing Student Services,644-3296,"CONRADI BUILDING, 809 ACADEMIC WAY",
Undergraduate Studies,644-2451,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Developmental Disabilities Certificate Program,644-9141,"C.C. - WARREN BLDG., 201 W BLOXHAM ST",
Community Service,645-7926,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
FSU Broadcast Center Public Relations,644-9692,"DIFFENBAUGH BUILDING, 625 UNIVERSITY WAY",
Alumni Association,645-2319,"ALUMNI CENTER FACILITY, 1028 W TENNESSEE ST",http://alumni.fsu.edu/
Civic Ed Youth Programs,644-9567,"DUNLAP SUCCESS CENTER, 100 S WOODWARD AVE",
College of Education Communications Office,645-7146,"STONE BUILDING, 1114 W CALL ST",
Advising First,644-3430,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Athletics Training Room,644-2556,"UNIVERSITY CENTER - BLDG. D, 403 STADIUM DR",
University Business Administrators Program,645-2209,"UNIVERSITY CENTER - BLDG. C, 296 CHAMPIONS WAY",
Ringling,941-359-5700,"RINGLING-ART MUSEUM, 5401 BAY SHORE RD, SARASOTA, FL 34243",http://www.asolorep.org/conservatory/welcome
Middle East Center,644-9516,"BELLAMY BUILDING, 113 COLLEGIATE LOOP",http://www.fsu.edu/~mec/
Religion,644-1020,"DODD HALL, 641 UNIVERSITY WAY",http://www.fsu.edu/~religion/
Outdoor Pursuits,645-2750,"REZ RECREATION BUILDING, 3226 FLASTACOWO RD",
Volleyball,644-3003,"UNIVERSITY CENTER - BLDG. D, 403 STADIUM DR",
First Year Composition ,644-0438,"WILLIAMS BUILDING, 631 UNIVERSITY WAY",
Sherrill Williams Ragans Hall Manager,645-1304,"RAGANS HALL 1 (A), 923 LEARNING WAY",
FSU Foundation Development Office,445-8778,"WESTCOTT BUILDING, 222 S COPELAND ST",http://foundation.fsu.edu/community/Page.aspx?pid=848&srcid=626
Planning and Programs Office,644-5196,"WESTCOTT BUILDING, 222 S COPELAND ST",http://www.vppp.fsu.edu/
SACS Liaison,644-5122,"WESTCOTT BUILDING, 222 S COPELAND ST",http://sacs.fsu.edu/
Molecular Biophysics Grants Office,644-4474,"KASHA LABORATORY, 91 CHIEFTAN WAY",
Student Senate,644-0940,"OGLESBY UNION -NEW CONCOURSE,",
School Of Theater,644-7257,"FINE ARTS BUILDING, 530 W CALL ST",http://theatre.fsu.edu/
Student Body Treasurer,644-1157,"OGLESBY UNION -NEW CONCOURSE,",
Senior Class Council,645-1177,"OGLESBY UNION -NEW CONCOURSE,",
University Defenders,644-8882,"OGLESBY UNION -NEW CONCOURSE,",
Maggie Allesee National Center For Choreography,645-2894,"MONTGOMERY, 130 COLLEGIATE LOOP",http://mancc.org/
Florida State Conference Center Toll Free  ,877-378-6653,"TURNBULL CONFERENCE CENTER, 555 W PENSACOLA ST",
CPD Registration,644-3807,"TURNBULL CONFERENCE CENTER, 555 W PENSACOLA ST",
CPD,644-7560,"TURNBULL CONFERENCE CENTER, 555 W PENSACOLA ST",
Mag LabNational High Magnetic Field Laboratory ,644-0311,"MAG LAB - GENERAL SCIENCE, 1800 EAST PAUL DIRAC DR",http://www.magnet.fsu.edu/
Condensed Matter Theory Program,644-5693,"MAG LAB - GENERAL SCIENCE, 1800 EAST PAUL DIRAC DR",
Seminole Productions Control Room A,644-2801,"UNIVERSITY CENTER - BLDG. D, 403 STADIUM DR",
Seminole Productions Control Room B,645-2379,"UNIVERSITY CENTER - BLDG. D, 403 STADIUM DR",
F s view Classified ,599-2210,"OGLESBY UNION - DAVIS BUILDING, 79 N WOODWARD AVE",
FSView,561-1603,"OGLESBY UNION - DAVIS BUILDING, 79 N WOODWARD AVE",
F S View ,561-6653,"OGLESBY UNION - DAVIS BUILDING, 79 N WOODWARD AVE",
Psychology  ,644-2040,"PSYCHOLOGY DEPT. BUILDING, 1107 W CALL ST",http://www.psy.fsu.edu/
Northwest Regional Data Center,645-3500,"NORTHWEST REGIONAL DATA CTR., 2048 EAST PAUL DIRAC DR",http://www.nwrdc.fsu.edu/
Dance School Costume Studio,644-9977,"MONTGOMERY, 130 COLLEGIATE LOOP",
Asolo Theater Ticket Office,941-360-7399,"RINGLING - ASOLO THEATER, 5401 BAY SHORE ROAD",
College of Medicine Admissions,644-7904,"COM -THRASHER BLDG., 1115 W CALL ST",
Board Relations,645-8809,"THE FSU FOUNDATION BUILDING, 325 W COLLEGE AVE",
Educational Psychology and Learning Systems Program Leader,644-8781,"STONE BUILDING, 1114 W CALL ST",
Recycling,644-6919,"MENDENHALL BUILDING B, 965 LEARNING WAY",
Key Shop Supervisor,644-5654,"MENDENHALL BUILDING A, 969 LEARNING WAY",
Key Shop,644-9612,"MENDENHALL BUILDING A, 969 LEARNING WAY",
Educational Leadership & Policy Studies Program Evaluation,644-8780,"STONE BUILDING, 1114 W CALL ST",
Classics Department Undergraduate Advisor,645-0436,"DODD HALL, 641 UNIVERSITY WAY",
Information Technology Services,644-4357,"SHAW TELECOMMUNICATIONS, 644 W CALL ST",http://its.fsu.edu/
Landis Hall,645-7310,"LANDIS HALL, 714 UNIVERSITY WAY",
Landis Hall Coordinator,645-7312,"LANDIS HALL, 714 UNIVERSITY WAY",
Landis Hall Manager,645-7313,"LANDIS HALL, 714 UNIVERSITY WAY",
Professional Golf Management,644-0213,"MIDDLETON GOLF CENTER, 2530 POTTSDAMER ST",http://dsh.fsu.edu/Dedman-School-of-Hospitality/Academic-Programs/Major-in-PGA-Golf-Management
Athletics Weight Room,644-3333,"UNIVERSITY CENTER - BLDG. D, 403 STADIUM DR",
Transcripts Instructions,644-5854,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Health and Wellness Center Appointments,644-4567,"HEALTH & WELLNESS CENTER, 960 LEARNING WAY",
University Center Club Catering,644-9071,"UNIVERSITY CENTER - BLDG. B, 288 CHAMPIONS WAY",
Seminole Golf Course Membership,645-9709,"MIDDLETON GOLF CENTER, 2550 POTTSDAMER ST",
Animal Lab,644-0994,"BIOMEDICAL RESEARCH FACILITY, 107 CHIEFTAN WAY",
Intensive English Studies,644-4797,"HECHT HOUSE, 634 W CALL ST",http://cies.fsu.edu/
Social Work,644-4751,"UNIVERSITY CENTER - BLDG. C, 296 CHAMPIONS WAY",http://csw.fsu.edu/
Oceanography Program,644-6700,"ROGERS BUILDING - OSB, 117 N WOODWARD AVE",
Audit services,644-6031,"WESTCOTT BUILDING, 222 S COPELAND ST",http://www.auditservices.fsu.edu/
Dance School,644-1024,"MONTGOMERY, 130 COLLEGIATE LOOP",http://dance.fsu.edu/
Leroy Collins Institute,644-1441,"LAW - CALDWELL (V.GR.), 312 M.L.KING BLVD S",http://collinsinstitute.fsu.edu/
Stavros Center,644-4772,"STAVROS CENTER, 250 S WOODWARD AVE",http://www.coss.fsu.edu/stavros/
Sport Management,644-4813,"TULLY GYM, 139 CHIEFTAN WAY",http://www.coe.fsu.edu/SM/
Human Subjects Committee ,644-7900,"RESEARCH FOUNDATION - BLDG. B, 2010 LEVY AVE",
Admissions,644-6200,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",http://admissions.fsu.edu/
Art History,644-1250,"JOHNSTON BUILDING, 143 HONORS WAY",http://arthistory.fsu.edu/
Center For Leadership And Civic Education,644-3342,"DUNLAP SUCCESS CENTER, 100 S WOODWARD AVE",http://thecenter.fsu.edu/
College of Communications & InformationCollege of Information,644-9698,"UNIVERSITY CENTER - BLDG. C, 296 CHAMPIONS WAY",http://cci.fsu.edu/
Controller's Office,644-5482,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",http://controller.vpfa.fsu.edu/
Forensics/Debate,644-3165,"REGIONAL REHABILITATION CENTER, 127 HONORS WAY",
Dirac Library,644-5534,"DIRAC LIBRARY, 110 N WOODWARD AVE",
Human Services Center,644-3857,"STONE BUILDING, 1114 W CALL ST",
Kaplan Test Preparation,224-3555,"OGLESBY UNION - DAVIS BUILDING, 79 N WOODWARD AVE",
Strozier Library Circulation Undergraduate Services,644-1486,"STROZIER LIBRARY, 116 HONORS WAY",
Molecular Biophysics,644-4764,"KASHA LABORATORY, 403 CHIEFTAN WAY",http://www.sb.fsu.edu/
Music Library,644-5028,"HOUSEWRIGHT MUSIC BUILDING, 122 N COPELAND ST",
Reichelt Oral History Program,645-7988,"BELLAMY BUILDING, 113 COLLEGIATE LOOP",
Photography Services,644-1066,"WESTCOTT BUILDING, 222 S COPELAND ST",
Center for Demography & Population Health Center ,644-1762,"BELLAMY BUILDING, 113 COLLEGIATE LOOP",http://www.fsu.edu/~popctr/
President,644-1085,"WESTCOTT BUILDING, 222 S COPELAND ST",http://president.fsu.edu/
Registrar,644-1050,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",http://registrar.fsu.edu/
Teaching Activities ,644-6747,"1062 KING LIFE SCIENCES BUILDING, 319 STADIUM DR",http://bio.fsu.edu/osta/
Seminole Boosters ,644-3484,"UNIVERSITY CENTER - BLDG. C, 296 CHAMPIONS WAY",http://seminole-boosters.fsu.edu/
Strozier Library Information Desk,644-2706,"STROZIER LIBRARY, 116 HONORS WAY",http://www.lib.fsu.edu/
University Communications Digital Media,644-2828,"WESTCOTT BUILDING, 222 S COPELAND ST",http://news.fsu.edu/
